0,1,2,3,4,5,6,7,8,9
68,29,43,0,0,0,0,0,0,0
32,94,84,0,0,0,0,0,0,0
72,19,57,0,0,0,0,0,0,0
55,96,65,0,0,0,0,0,0,0
76,65,15,0,0,0,0,0,0,0
12,24,5,0,0,0,0,0,0,0
8,75,4,0,0,0,0,0,0,0
37,64,30,0,0,0,0,0,0,0
9,73,28,0,0,0,0,0,0,0
12,92,16,0,0,0,0,0,0,0
52,17,15,0,0,0,0,0,0,0
19,85,2,0,0,0,0,0,0,0
92,18,91,0,0,0,0,0,0,0
98,10,20,0,0,0,0,0,0,0
67,67,6,0,0,0,0,0,0,0
56,3,39,0,0,0,0,0,0,0
91,40,1,0,0,0,0,0,0,0
58,57,37,0,0,0,0,0,0,0
18,64,18,0,0,0,0,0,0,0
85,34,48,0,0,0,0,0,0,0
50,63,28,0,0,0,0,0,0,0
1,32,13,0,0,0,0,0,0,0
28,88,68,0,0,0,0,0,0,0
91,1,24,0,0,0,0,0,0,0
80,35,55,0,0,0,0,0,0,0
76,49,52,0,0,0,0,0,0,0
91,98,61,0,0,0,0,0,0,0
30,61,33,0,0,0,0,0,0,0
61,49,79,0,0,0,0,0,0,0
73,41,45,0,0,0,0,0,0,0
53,47,86,0,0,0,0,0,0,0
81,89,93,0,0,0,0,0,0,0
68,83,83,0,0,0,0,0,0,0
89,80,38,0,0,0,0,0,0,0
72,59,74,0,0,0,0,0,0,0
15,82,31,0,0,0,0,0,0,0
77,1,29,0,0,0,0,0,0,0
83,10,14,0,0,0,0,0,0,0
41,27,55,0,0,0,0,0,0,0
66,36,48,0,0,0,0,0,0,0
84,24,98,0,0,0,0,0,0,0
21,3,16,0,0,0,0,0,0,0
26,58,16,0,0,0,0,0,0,0
30,93,1,0,0,0,0,0,0,0
20,14,36,0,0,0,0,0,0,0
26,28,13,0,0,0,0,0,0,0
29,88,34,0,0,0,0,0,0,0
79,92,19,0,0,0,0,0,0,0
15,97,17,0,0,0,0,0,0,0
54,20,77,0,0,0,0,0,0,0
0,0,0,50,64,97,0,0,0,0
0,0,0,39,76,60,0,0,0,0
0,0,0,60,80,85,0,0,0,0
0,0,0,7,29,64,0,0,0,0
0,0,0,77,15,87,0,0,0,0
0,0,0,44,13,23,0,0,0,0
0,0,0,83,84,68,0,0,0,0
0,0,0,61,18,64,0,0,0,0
0,0,0,17,13,86,0,0,0,0
0,0,0,95,31,33,0,0,0,0
0,0,0,13,100,46,0,0,0,0
0,0,0,72,39,12,0,0,0,0
0,0,0,99,4,38,0,0,0,0
0,0,0,1,2,54,0,0,0,0
0,0,0,52,34,36,0,0,0,0
0,0,0,97,12,12,0,0,0,0
0,0,0,49,58,64,0,0,0,0
0,0,0,95,8,28,0,0,0,0
0,0,0,18,65,65,0,0,0,0
0,0,0,52,49,7,0,0,0,0
0,0,0,76,99,38,0,0,0,0
0,0,0,95,42,74,0,0,0,0
0,0,0,97,69,27,0,0,0,0
0,0,0,94,48,99,0,0,0,0
0,0,0,39,10,26,0,0,0,0
0,0,0,19,54,56,0,0,0,0
0,0,0,1,97,53,0,0,0,0
0,0,0,28,1,8,0,0,0,0
0,0,0,8,39,24,0,0,0,0
0,0,0,28,72,31,0,0,0,0
0,0,0,49,71,72,0,0,0,0
0,0,0,62,64,71,0,0,0,0
0,0,0,83,3,90,0,0,0,0
0,0,0,17,84,42,0,0,0,0
0,0,0,96,38,11,0,0,0,0
0,0,0,53,80,14,0,0,0,0
0,0,0,87,48,99,0,0,0,0
0,0,0,57,16,68,0,0,0,0
0,0,0,27,27,18,0,0,0,0
0,0,0,48,60,85,0,0,0,0
0,0,0,41,70,67,0,0,0,0
0,0,0,97,55,44,0,0,0,0
0,0,0,23,71,13,0,0,0,0
0,0,0,2,10,100,0,0,0,0
0,0,0,19,9,76,0,0,0,0
0,0,0,21,20,52,0,0,0,0
0,0,0,5,52,10,0,0,0,0
0,0,0,49,8,78,0,0,0,0
0,0,0,80,81,51,0,0,0,0
0,0,0,1,100,51,0,0,0,0
0,0,0,0,0,12,51,12,0,0
0,0,0,0,0,37,27,23,0,0
0,0,0,0,0,28,70,52,0,0
0,0,0,0,0,71,62,95,0,0
0,0,0,0,0,17,2,79,0,0
0,0,0,0,0,51,45,80,0,0
0,0,0,0,0,47,2,19,0,0
0,0,0,0,0,63,10,41,0,0
0,0,0,0,0,59,24,1,0,0
0,0,0,0,0,17,71,22,0,0
0,0,0,0,0,31,35,23,0,0
0,0,0,0,0,60,97,97,0,0
0,0,0,0,0,67,44,19,0,0
0,0,0,0,0,44,55,70,0,0
0,0,0,0,0,14,37,74,0,0
0,0,0,0,0,17,87,70,0,0
0,0,0,0,0,94,93,58,0,0
0,0,0,0,0,61,71,62,0,0
0,0,0,0,0,79,3,94,0,0
0,0,0,0,0,35,82,96,0,0
0,0,0,0,0,99,80,40,0,0
0,0,0,0,0,86,69,59,0,0
0,0,0,0,0,48,84,12,0,0
0,0,0,0,0,27,83,88,0,0
0,0,0,0,0,76,50,29,0,0
0,0,0,0,0,40,75,21,0,0
0,0,0,0,0,11,65,59,0,0
0,0,0,0,0,50,94,28,0,0
0,0,0,0,0,86,96,44,0,0
0,0,0,0,0,67,40,78,0,0
0,0,0,0,0,48,59,98,0,0
0,0,0,0,0,43,77,4,0,0
0,0,0,0,0,6,90,61,0,0
0,0,0,0,0,67,24,77,0,0
0,0,0,0,0,3,89,74,0,0
0,0,0,0,0,24,31,14,0,0
0,0,0,0,0,78,13,11,0,0
0,0,0,0,0,49,33,18,0,0
0,0,0,0,0,36,86,83,0,0
0,0,0,0,0,57,23,9,0,0
0,0,0,0,0,72,95,88,0,0
0,0,0,0,0,45,19,14,0,0
0,0,0,0,0,93,1,49,0,0
0,0,0,0,0,89,24,18,0,0
0,0,0,0,0,7,78,7,0,0
0,0,0,0,0,56,77,8,0,0
0,0,0,0,0,63,28,9,0,0
0,0,0,0,0,61,86,22,0,0
0,0,0,0,0,54,48,90,0,0
0,0,0,0,0,15,73,75,0,0
0,0,0,0,0,0,0,20,26,42
0,0,0,0,0,0,0,31,96,33
0,0,0,0,0,0,0,7,1,4
0,0,0,0,0,0,0,53,96,75
0,0,0,0,0,0,0,68,37,14
0,0,0,0,0,0,0,79,31,14
0,0,0,0,0,0,0,25,13,97
0,0,0,0,0,0,0,81,5,4
0,0,0,0,0,0,0,91,74,30
0,0,0,0,0,0,0,11,85,50
0,0,0,0,0,0,0,59,83,5
0,0,0,0,0,0,0,52,89,60
0,0,0,0,0,0,0,74,90,23
0,0,0,0,0,0,0,30,39,59
0,0,0,0,0,0,0,14,52,38
0,0,0,0,0,0,0,83,26,41
0,0,0,0,0,0,0,95,61,17
0,0,0,0,0,0,0,20,93,19
0,0,0,0,0,0,0,55,92,65
0,0,0,0,0,0,0,37,7,50
0,0,0,0,0,0,0,79,55,68
0,0,0,0,0,0,0,16,83,10
0,0,0,0,0,0,0,99,3,12
0,0,0,0,0,0,0,49,78,76
0,0,0,0,0,0,0,30,96,34
0,0,0,0,0,0,0,80,80,93
0,0,0,0,0,0,0,78,17,8
0,0,0,0,0,0,0,96,80,12
0,0,0,0,0,0,0,19,49,17
0,0,0,0,0,0,0,83,84,80
0,0,0,0,0,0,0,11,39,21
0,0,0,0,0,0,0,10,89,84
0,0,0,0,0,0,0,58,49,84
0,0,0,0,0,0,0,85,60,86
0,0,0,0,0,0,0,23,85,90
0,0,0,0,0,0,0,22,60,37
0,0,0,0,0,0,0,57,79,45
0,0,0,0,0,0,0,18,90,97
0,0,0,0,0,0,0,39,61,97
0,0,0,0,0,0,0,60,88,50
0,0,0,0,0,0,0,77,18,38
0,0,0,0,0,0,0,15,91,21
0,0,0,0,0,0,0,28,57,78
0,0,0,0,0,0,0,27,60,72
0,0,0,0,0,0,0,30,86,38
0,0,0,0,0,0,0,34,72,18
0,0,0,0,0,0,0,46,75,96
0,0,0,0,0,0,0,1,86,51
0,0,0,0,0,0,0,92,95,43
0,0,0,0,0,0,0,18,14,12
